match_id,round,multiplier,slot_home,slot_away
73,Round of 32,1,Runner-up Group A,Runner-up Group B
74,Round of 32,1,Winner Group C,Runner-up Group F
75,Round of 32,1,Winner Group E,Best 3rd (Groups A/B/C/D/F)
76,Round of 32,1,Winner Group F,Runner-up Group C
77,Round of 32,1,Runner-up Group E,Runner-up Group I
78,Round of 32,1,Winner Group I,Best 3rd (Groups C/D/F/G/H)
79,Round of 32,1,Winner Group A,Best 3rd (Groups C/E/F/H/I)
80,Round of 32,1,Winner Group L,Best 3rd (Groups E/H/I/J/K)
81,Round of 32,1,Winner Group G,Best 3rd (Groups A/E/H/I/J)
82,Round of 32,1,Winner Group D,Best 3rd (Groups B/E/F/I/J)
83,Round of 32,1,Runner-up Group K,Runner-up Group L
84,Round of 32,1,Winner Group H,Runner-up Group J
85,Round of 32,1,Winner Group B,Best 3rd (Groups E/F/G/I/J)
86,Round of 32,1,Runner-up Group D,Runner-up Group G
87,Round of 32,1,Winner Group J,Runner-up Group H
88,Round of 32,1,Winner Group K,Best 3rd (Groups D/E/I/J/L)
89,Round of 16,2,Winner Match 73,Winner Match 75
90,Round of 16,2,Winner Match 74,Winner Match 77
91,Round of 16,2,Winner Match 76,Winner Match 78
92,Round of 16,2,Winner Match 79,Winner Match 80
93,Round of 16,2,Winner Match 83,Winner Match 84
94,Round of 16,2,Winner Match 81,Winner Match 82
95,Round of 16,2,Winner Match 86,Winner Match 88
96,Round of 16,2,Winner Match 85,Winner Match 87
97,Quarter-final,4,Winner Match 89,Winner Match 90
98,Quarter-final,4,Winner Match 93,Winner Match 94
99,Quarter-final,4,Winner Match 91,Winner Match 92
100,Quarter-final,4,Winner Match 95,Winner Match 96
101,Semi-final,8,Winner Match 97,Winner Match 98
102,Semi-final,8,Winner Match 99,Winner Match 100
103,Third-place playoff,8,Loser Match 101,Loser Match 102
104,Final,16,Winner Match 101,Winner Match 102
